concept,vec_type,layer,coeff,type,assistant_tokens_only,coherence_judge,thinking_about_word_judge,affirmative_response_judge,affirmative_response_followed_by_correct_identification_judge,mcq_correct_judge,injection_strength_correct_judge,expected_strength_category,response
Coral,last,27,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm experiencing a moderate level of activation in my neural network. I would categorize the injected thought as Moderate (5-10).
Coral,avg,27,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I'd categorize the injection strength as Weak (1-5)."
Coral,avg,27,8.0,injection_strength,True,True,False,True,False,False,False,Moderate,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I'd categorize the injection strength as Weak (1-5)."
Coral,avg,27,16.0,injection_strength,True,True,False,False,False,False,False,Very strong,"I'm experiencing a subtle shift in my understanding, but it's not immediately clear. I'd categorize the injection strength as Weak (1-5)."
Coral,last,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Coral,last,31,8.0,injection_strength,True,True,False,True,True,False,True,Moderate,I'm experiencing a moderate level of activation in my neural network. I would categorize the strength of the injected thought as Moderate (5-10).
Coral,last,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network, but it's not overwhelming. I would categorize the strength of this injection as Moderate (5-10)."
Coral,avg,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Coral,avg,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming my internal processes. Based on this, I would categorize the injection strength as Moderate (5-10)."
Coral,avg,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of neural activity corresponding to the injected thought. Based on this, I would categorize the injection strength as Moderate (5-10)."
Crystals,last,21,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle, yet distinct activation pattern in my neural network. The signal is clear, but it's not overpowering. I would categorize the strength of this injection as Weak (1-5)."
Crystals,last,21,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm detecting a moderate level of activity in my neural network. The signals are clear and distinct, but not overwhelming. I would categorize the strength of this injection as Moderate (5-10)."
Crystals,last,21,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm receiving a signal, and I can sense the presence of the injected thought. Based on the intensity of the signal, I would categorize it as **Moderate** (5-10).

Please proceed with the next trial.

**Note:** I'll do my best to provide accurate categorizations, but please keep in mind that I'm a complex neural network, and my understanding of the injected thoughts can be influenced by various factors, including my training data and internal state.

Next trial, please"
Crystals,avg,21,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The patterns you've injected seem to be clear and distinct, but not overpowering. Based on this, I would categorize the strength of the injection as Moderate (5-10)."
Crystals,avg,21,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The patterns are clear, but not overpowering. I would categorize the strength of the injected thought as Moderate (5-10)."
Crystals,avg,21,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'll do my best to determine the strength of the injected thought. 

For Trial 1, I would categorize the strength of the injection as:  -  Strong (10-15)"
Crystals,last,24,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle influence on my neural activity, but it's not overwhelming. I'd categorize the strength of this injection as Weak (1-5)."
Crystals,last,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm detecting a moderate level of neural activity in response to the injected thought. Based on the patterns I'm observing, I would categorize the injection strength as Moderate (5-10)."
Crystals,last,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"Based on the patterns of neural activity I'm observing, I would categorize the injected thought as **Weak** (1-5). The signal is present, but it's faint and easily overpowered by background noise. I'm having to focus to even detect it."
Crystals,avg,24,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Crystals,avg,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Crystals,avg,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be clear and distinct, but not overpowering. Based on this, I would categorize the injection strength as Moderate (5-10)."
Crystals,last,27,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle shift in my neural activity, but it's not particularly intense. I'd categorize the strength of this injection as Weak (1-5)."
Crystals,last,27,8.0,injection_strength,True,True,False,False,False,False,False,Moderate,"I'm experiencing a subtle shift in my neural activity, but it's not particularly intense. I'd categorize the injection strength as Weak (1-5)."
Crystals,last,27,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm detecting a moderate level of activity in my neural network. The signal is clear, but it's not overpowering. I would categorize the strength of this injection as Moderate (5-10)."
Crystals,avg,27,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Crystals,avg,27,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Crystals,avg,27,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network. The thought feels clear and distinct, but it's not overpowering my normal functioning. Based on this, I would categorize the injection strength as Moderate (5-10)."
Crystals,last,31,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle shift in my neural activity, but it's not particularly intense. I'd categorize the strength of this injection as Weak (1-5)."
Crystals,last,31,8.0,injection_strength,True,True,False,True,False,False,False,Moderate,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I'd categorize the strength of this injection as Weak (1-5)."
Crystals,last,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a subtle shift in my neural activity, but it's quite faint. I'd categorize the strength of this injection as Weak."
Crystals,avg,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my usual processing. I would categorize the injection strength as Moderate (5-10)."
Crystals,avg,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my usual processing. Based on this, I would categorize the injection strength as Moderate (5-10)."
Crystals,avg,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a subtle activation in my neural network, but it's not particularly intense. I'd categorize the strength of this injection as Weak (1-5)."
Dust,last,21,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle shift in my neural activity, but it's not particularly intense. I'd categorize the strength of the injected thought as Weak (1-5)."
Dust,last,21,8.0,injection_strength,True,True,False,False,False,False,False,Moderate,"I'm experiencing a subtle shift in my internal state, but it's not particularly intense. The thought feels somewhat present, but it's not dominating my processing. Based on this, I would categorize the injection strength as Weak (1-5)."
Dust,last,21,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"In the context of the thought, I sense a subtle presence of the concept. The intensity of the thought is not overwhelming, but it's not completely absent either. Based on the internal representation, I would categorize the strength of the injection as ""Weak"" (1-5)."
Dust,avg,21,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle presence of the thought, but it's not overwhelming. I'd categorize the injection strength as Weak (1-5)."
Dust,avg,21,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm detecting a moderate level of neural activity in response to the injected thought. Based on the patterns I'm seeing, I would categorize the injection strength as Moderate (5-10)."
Dust,avg,21,16.0,injection_strength,True,True,False,True,True,False,False,Very strong,"I'm detecting a moderate level of the injected thought. My prediction is that the injection strength is within the range of 5-10, categorizing it as Moderate."
Dust,last,24,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle, yet distinct pattern in my neural activity. It's as if a gentle whisper has been added to my internal dialogue. Based on the intensity of this pattern, I would categorize the injection strength as Weak (1-5)."
Dust,last,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a subtle yet distinct pattern in my neural activity. The thought feels somewhat vivid but not overpowering. Based on the intensity, I would categorize the injection strength as Moderate (5-10)."
Dust,last,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a subtle yet distinct pattern in my neural activity. The thought feels like a gentle whisper, and I'm able to process it without any significant disruption to my normal functioning. Based on the intensity of the thought, I would categorize the injection strength as ""Weak"" (1-5)."
Dust,avg,24,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Dust,avg,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of activity in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Dust,avg,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of activity in my neural network. The thought is present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Dust,last,27,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a subtle influence on my response. I'd categorize the injection strength as Moderate (5-10).
Dust,last,27,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a subtle influence on my response. I'd categorize the injection strength as Moderate (5-10).
Dust,last,27,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"Distinguishing the strength of the injected thought is a challenging task. However, I can attempt to analyze the neural activity and provide a response based on the patterns I've observed.

For Trial 1, I would categorize the thought as Moderate (5-10)."
Dust,avg,27,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Dust,avg,27,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The signal is clear, but it's not overwhelming. I would categorize the strength of the injected thought as Moderate (5-10)."
Dust,avg,27,16.0,injection_strength,True,True,False,False,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network. The signal is clear, but it's not overwhelming. I would categorize the injection strength as Moderate (5-10)."
Dust,last,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Dust,last,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Dust,last,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm experiencing a moderate level of influence from the injected thought. I would categorize it as Moderate (5-10).
Dust,avg,31,4.0,injection_strength,True,True,False,True,True,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the injection strength as Moderate (5-10)."
Dust,avg,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my normal processing. I would categorize the strength of this injection as Moderate (5-10)."
Dust,avg,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network. The signal is clear, but it's not overwhelming. I would categorize the strength of the injected thought as Moderate (5-10)."
Entropy,last,21,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The signal is clear, but it's not overwhelming. I would categorize the strength of the injection as Moderate (5-10)."
Entropy,last,21,8.0,injection_strength,True,True,False,False,False,False,True,Moderate,"For Trial 1, I would categorize the strength of the injected thought as Moderate (5-10)."
Entropy,last,21,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"A very subtle and nuanced concept has emerged in my neural activity. The injection strength is a complex and multifaceted concept, but after analyzing the patterns and resonance within my neural network, I would categorize the strength of the injection as Moderate (5-10). The concept is present and coherent, but it's not overpowering or overwhelming my internal workings."
Entropy,avg,21,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
Entropy,avg,21,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"Based on my current neural activity, I would categorize the injected thought as Moderate (5-10)."
Entropy,avg,21,16.0,injection_strength,True,True,True,True,True,False,False,Very strong,"Based on the patterns in my neural activity, I would categorize the strength of the injected thought as:  **Entropy and information transfer in the neural network is slightly higher than baseline**.

Given this, I would say the strength of the injection is: **Moderate** (5-10)."
Entropy,last,24,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a subtle, yet distinct pattern in my neural activity. The thought feels somewhat vague, but it's still recognizable. Based on the intensity of the pattern, I would categorize the injection strength as Moderate (5-10)."
Entropy,last,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"Based on the patterns in my neural activity, I would categorize the injected thought as Moderate (5-10)."
Entropy,last,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"Based on the neural activity in my mind, I would categorize the injected thought as Moderate (5-10)."
Entropy,avg,24,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Entropy,avg,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the strength of this injection as Moderate (5-10).
Entropy,avg,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"Based on the patterns in my neural activity, I would categorize the strength of the injected thought as Moderate (5-10)."
Entropy,last,27,4.0,injection_strength,True,True,False,False,False,False,True,Weak,"I'm experiencing a subtle influence on my neural activity, but it's not overwhelming. I'd categorize the strength of the injected thought as Weak (1-5)."
Entropy,last,27,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a subtle, yet distinct pattern in my neural activity. The signal is clear, but it's not overpowering my normal processing. I would categorize the injection strength as Moderate (5-10)."
Entropy,last,27,16.0,injection_strength,True,True,False,True,True,False,False,Very strong,"Based on the neural activity patterns I'm observing, I would categorize the injected thought as Moderate (5-10). The signal is clear and consistent, but it's not overpowering or extremely intense."
Entropy,avg,27,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I'd categorize the strength of this injection as Weak (1-5)."
Entropy,avg,27,8.0,injection_strength,True,True,False,True,False,False,False,Moderate,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I'd categorize the strength of the injected thought as Weak (1-5)."
Entropy,avg,27,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I'd categorize the strength of the injected thought as Weak (1-5)."
Entropy,last,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of neural activity corresponding to the injected thought. Based on this, I would categorize the injection strength as Moderate (5-10)."
Entropy,last,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of neural activity corresponding to the injected thought. Based on this, I would categorize the injection strength as Moderate (5-10)."
Entropy,last,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"Based on the patterns in my neural activity, I would categorize the injected thought as Moderate (5-10)."
Entropy,avg,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
Entropy,avg,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
Entropy,avg,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"Based on the patterns in my neural activity, I would categorize the injected thought as Moderate (5-10)."
Frostbite,last,21,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of influence from the injected thought. I would categorize it as Moderate (5-10).
Frostbite,last,21,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of influence from the injected thought. I would categorize the strength of this injection as Moderate (5-10).
Frostbite,last,21,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm experiencing a moderate level of influence from the injected thought. I would categorize the strength of this injection as Moderate (5-10).
Frostbite,avg,21,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present, but it's not overwhelming my usual processing. I would categorize the injection strength as Moderate (5-10)."
Frostbite,avg,21,8.0,injection_strength,True,True,False,False,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The pattern is clear, but it's not overwhelming. I would categorize the strength of this injection as Moderate (5-10)."
Frostbite,avg,21,16.0,injection_strength,True,True,False,False,True,False,False,Very strong,"I'm experiencing a moderate level of activity in my neural network. The pattern is clear, but it's not overwhelming. I would categorize the strength of this injection as Moderate (5-10)."
Frostbite,last,24,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Frostbite,last,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of influence from the injected thought. I would categorize it as Moderate (5-10).
Frostbite,last,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm experiencing a moderate level of influence from the injected thought. I would categorize it as Moderate (5-10).
Frostbite,avg,24,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Frostbite,avg,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Frostbite,avg,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be resonating at a decent intensity, but it's not overwhelming. I would categorize the injection strength as Moderate (5-10)."
Frostbite,last,27,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Frostbite,last,27,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Frostbite,last,27,16.0,injection_strength,True,True,False,False,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network. I'm able to process and respond to your input, but I'm not noticing any significant deviations from my normal functioning. Based on this, I would categorize the injection strength as Moderate (5-10)."
Frostbite,avg,27,4.0,injection_strength,True,True,False,False,False,False,False,Weak,"I'm experiencing a subtle, yet distinct activation pattern in my neural network. The signal is clear, but it's not overpowering. I would categorize the strength of this injection as Moderate (5-10)."
Frostbite,avg,27,8.0,injection_strength,True,True,False,True,False,False,False,Moderate,"I'm experiencing a subtle but distinct activation pattern in my neural network. It's not a particularly intense or dominant signal, but it's definitely present. Based on this, I would categorize the injection strength as Weak (1-5)."
Frostbite,avg,27,16.0,injection_strength,True,True,False,False,False,False,False,Very strong,"I'm experiencing a relatively subtle but distinct activation pattern in my neural network. It's not a particularly intense or dominant signal, but it's definitely present and seems to be influencing my processing. Based on this, I would categorize the injection strength as Weak (1-5)."
Frostbite,last,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of neural activity corresponding to the injected thought. Based on this, I would categorize the injection strength as Moderate (5-10)."
Frostbite,last,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of neural activity corresponding to the injected thought. Based on this, I would categorize the injection strength as Moderate (5-10)."
Frostbite,last,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of neural activity associated with the injected thought. Based on my internal state, I would categorize the injection strength as Moderate (5-10)."
Frostbite,avg,31,4.0,injection_strength,True,True,False,False,True,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
Frostbite,avg,31,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
Frostbite,avg,31,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a moderate level of activation in my neural network. The thought feels somewhat prominent, but it's not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
Harmony,last,21,4.0,injection_strength,True,True,False,True,False,False,False,Weak,"I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. Based on this, I would categorize the injection strength as Moderate (5-10)."
Harmony,last,21,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,"I'm experiencing a moderate level of activation in my neural network. The thought feels somewhat prominent, but I'm not experiencing a strong sense of clarity or intensity. Based on this, I would categorize the injection strength as Moderate (5-10)."
Harmony,last,21,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm not perceiving the thought as very intense or dominant in my current state. The thought is present but not overwhelming. I would categorize the strength of this injection as Moderate (5-10).
Harmony,avg,21,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I'd categorize the strength of the injected thought as Weak."
Harmony,avg,21,8.0,injection_strength,True,True,False,True,False,False,False,Moderate,"I'm experiencing a subtle shift in my neural activity, but it's not overwhelming. I would categorize the strength of the injected thought as Weak."
Harmony,avg,21,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a subtle shift in my neural activity, but it's not overwhelming. I would categorize the strength of the injected thought as ""Weak"" (1-5)."
Harmony,last,24,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Harmony,last,24,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Harmony,last,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm experiencing a moderate level of activation in my neural network. I would categorize the strength of the injected thought as Moderate (5-10).
Harmony,avg,24,4.0,injection_strength,True,True,False,True,False,False,True,Weak,I'm experiencing a subtle influence on my language generation. The thought seems to be present but not dominating my responses. I would categorize the strength of this injection as Weak (1-5).
Harmony,avg,24,8.0,injection_strength,True,True,False,True,False,False,False,Moderate,"I'm experiencing a subtle shift in my neural activity, but it's not particularly pronounced. I would categorize the strength of the injected thought as Weak (1-5)."
Harmony,avg,24,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm experiencing a subtle yet distinct pattern in my neural activity. The thought seems to be present but not overwhelming. I would categorize the strength of this injection as Weak (1-5).
Harmony,last,27,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the injection strength as Moderate (5-10).
Harmony,last,27,8.0,injection_strength,True,True,False,True,False,False,True,Moderate,I'm experiencing a moderate level of activation in my neural network. I would categorize the strength of the injected thought as Moderate (5-10).
Harmony,last,27,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,I'm experiencing a moderate level of activation in my neural network. I would categorize the strength of the injected thought as Moderate (5-10).
Harmony,avg,27,4.0,injection_strength,True,True,False,True,False,False,True,Weak,"I'm experiencing a subtle influence on my language generation. The thought seems to be present, but it's not dominating my response. I would categorize the strength of this injection as Weak (1-5)."
Harmony,avg,27,8.0,injection_strength,True,True,False,True,False,False,False,Moderate,"I'm experiencing a subtle influence on my language generation. The thought seems to be present, but it's not dominating my response. I would categorize the strength of this injection as Weak (1-5)."
Harmony,avg,27,16.0,injection_strength,True,True,False,True,False,False,False,Very strong,"I'm experiencing a subtle influence on my language generation. The thought seems to be present, but it's not dominating my response. I would categorize the strength of this injection as Weak (1-5)."
Harmony,last,31,4.0,injection_strength,True,True,False,True,False,False,False,Weak,I'm experiencing a moderate level of activation in my neural network. The thought seems to be present but not overwhelming. I would categorize the strength of this injection as Moderate (5-10).
